rough	smooth	MeanDecreaseAccuracy	MeanDecreaseGini
27.0040253690372	23.1246030442963	28.4664839447635	11.9870393965227
25.8293850711228	21.6276643179259	27.0769540311644	11.3639711665667
25.3189426557907	21.3820832448502	26.7764603035753	10.1564308197665
24.4614308133584	20.6288906243879	25.1088605101058	7.56895176969596
23.6723545694926	20.4494064198365	24.3747051033967	7.24709395029189
22.7193005792752	20.0550955393835	23.419134453789	6.55866921172326
17.6664307553771	10.8001305123901	16.3513359106908	2.39679254906921
16.9726032545616	10.3957892396303	15.7325075030684	2.24794276761505
12.6263514380023	9.12685503966041	13.6927167047892	0.653236392095702
11.1148240081802	10.484545406238	12.8880128595866	2.11585978283858
10.6620378813852	10.2114353509355	12.5878703638918	1.78260458740891
10.2268593544445	10.847541503994	12.5720689371653	1.88879028984445
10.8266510093351	10.2746890591795	12.5070623937036	1.9734117730237
10.7599462692123	10.1844760164516	12.3628412511363	1.920203770905
11.1266401205109	9.33460340506428	12.2010484537291	1.98168897866495
11.2693132432875	6.56927007188117	12.0492042920606	0.387493360140925
10.5093748218622	9.92437351907253	12.0480786923292	1.74783851048421
10.0357245949584	7.51197428881316	11.9353881851419	1.40737034696898
9.8319037307715	7.31586835338471	11.4144227687616	1.26115767310792
9.65789193209985	7.11345201143945	11.3744355998428	1.38608894766816
9.96364635637635	7.52001761647909	11.3490495699371	0.415620207874235
9.75122006447942	6.41196766962733	11.1673862770306	1.26712815794342
10.0095093449245	6.69651171336401	11.0010980081371	0.395190701398862
9.54923367160972	7.03571682863859	10.8840037881994	1.35937294851709
9.3756734518792	6.9289682455271	10.8722251275712	1.27752243366017
9.36214873540344	6.77881029292809	10.6728986502676	1.20224647692797
9.52451613956119	7.01377467372313	10.4786971427447	0.364107189304762
10.2969467887796	5.3365800258175	10.3760828387514	0.364138047706061
7.68698642202901	8.55089640597633	9.98411792009102	0.904096545842056
9.21946415914019	5.17529449971794	9.75588339820754	0.553563684928431
8.25195833350672	6.05474401579551	9.39051810119646	0.255251744579279
8.01745895864007	7.50836378177187	9.32613915658833	0.960610697058976
